fragment,counter
[*]N([*])CCC([*])([*])C(N)=O,1
[*]N(CC)CC,116
NCCC(O)(P(=O)(O)O)P(=O)(O)O,1
[*]CC[C@H]1CCCN1C,2
[*][C@]([*])(C)C1:C:C:C:C:C:1,2
[*][C@@]([*])(C)C1:C:C:C(Cl):C:C:1,2
[*]OC([*])([*])C,3
[*][C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O,3
[*]O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O,3
[*]O[C@H]1O[C@H](CO)[C@@H](O[*])[C@H](O)[C@H]1O,13
[*]O[C@H]1O[C@H](CO)[C@@H]([*])[C@H](O)[C@H]1O,15
[*]O[C@@H]1[C@@H](CO)O[C@H]([*])[C@H](O)[C@H]1O,15
[*][C@H]1O[C@H](CO)[C@@H]([*])[C@H](O)[C@H]1O,15
[*][C@H]1O[C@H](C)[C@@H]([*])[C@H](O)[C@H]1O,10
[*]N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,5
[*]N[C@H]1[C@H](O)[C@@H](O)[C@@H]([*])O[C@@H]1C,10
[*][C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,5
[*]O[C@H]1O[C@H](C)[C@@H]([*])[C@H](O)[C@H]1O,10
[*]O[C@H]1O[C@H](C)[C@@H](N[*])[C@H](O)[C@H]1O,10
[*]C1(O)CCCCC1,5
[*]CC([*])C1:C:C:C(OC):C:C:1,1
[*]C1:C:C:C(OC):C:C:1,68
[*]CC([*])C1(O)CCCCC1,4
[*]C[C@H](O)C[*],3
[*]C(=O)CCCC[*],14
[*]OC[C@H](O)C[*],3
[*]CC[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1C[*],7
[*]OC1:C:C:C:C([*]):C:1,26
[*]C1:C:C:C:C([*]):C:1,119
[*]OCC([*])=O,51
[*][C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,1
[*][C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,1
[*]OC1:C:C:C:C:C:1C,3
[*][C@@H]([*])CCNC,2
